id,address,flow,year,funktion_3_title,funktion_3_address,einzelplan_1_title,gruppe_2_address,gruppe_3_address,gruppe_2_title,gruppe_1_address,einzelplan_1_address,funktion_2_title,account,name,title,gruppe_1_title,einzelplan_2_address,value,funktion_1_title,funktion_2_address,gruppe_3_title,einzelplan_2_title,funktion_1_address,flexible
1,070781255,ausgaben,2012,Ordentliche Gerichte und Staatsanwaltschaften,052,Bundesministerium der Justiz,81,812,Erwerb von beweglichen Sachen,8,07,Rechtsschutz,funktion,0707 812 55 - 052,"Erwerb von Datenverarbeitungsanlagen, Geräten, Ausstattungs- und Ausrüstungsgegenständen, Software",Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,0707,182,Allgemeine Dienste,05,Erwerb von Geräten und sonstigen beweglichen Sachen,Bundespatentgericht,0,1
2,040651701,ausgaben,2012,"Wissenschaftliche Bibliotheken, Archive, Fachinformationszentren",162,Bundeskanzlerin und Bundeskanzleramt,51,517,Sächliche Verwaltungsausgaben (Obergruppe 51),5,04,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,0406 517 01 - 162,"Bewirtschaftung der Grundstücke, Gebäude und Räume","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0406,3148,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesarchiv,1,1
3,070863403,ausgaben,2012,Politische Führung,011,Bundesministerium der Justiz,63,634,Sonstige (zweckgebundene) Zuweisungen an öffentlichen Bereich,6,07,Politische Führung und zentrale Verwaltung,funktion,0708 634 03 - 011,Zuweisungen an den Versorgungsfonds,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,0708,508,Allgemeine Dienste,01,Sonstige Zuweisungen an Sondervermögen,Bundesamt für Justiz,0,1
4,046711957,einnahmen,2012,"Versorgung einschließlich Beihilfen für Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundeskanzlerin und Bundeskanzleramt,11,119,Verwaltungseinnahmen,1,04,Politische Führung und zentrale Verwaltung,funktion,0467 119 57 - 018,Vermischte Einnahmen,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0467,16,Allgemeine Dienste,01,Sonstige,"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter des Einzelplans 04 (ohne Kap. 0403, 0405 bis 0408)",0,0
5,101512401,einnahmen,2012,Andere Einrichtungen für Wissenschaft und Forschung,165,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",12,124,Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen (ohne Zinsen),1,10,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,1015 124 01 - 165,"Einnahmen aus Vermietung, Verpachtung und Nutzung","Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",1015,250,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Mieten und Pachten,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel",1,0
6,060151855,ausgaben,2012,Politische Führung,011,Bundesministerium des Innern,51,518,Sächliche Verwaltungsausgaben (Obergruppe 51),5,06,Politische Führung und zentrale Verwaltung,funktion,0601 518 55 - 011,"Miete für Datenverarbeitungsanlagen, Geräte, Ausstattungs- und Ausrüstungsgegenstände, Maschinen, Software","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0601,15,Allgemeine Dienste,01,Mieten und Pachten,Bundesministerium,0,1
7,061628208,einnahmen,2012,Bundesgrenzschutz (nur Bund),041,Bundesministerium des Innern,28,282,Sonstige Zuschüsse aus sonstigen Bereichen,2,06,Öffentliche Sicherheit und Ordnung,funktion,0616 282 08 - 041,Einnahmen aus Prämienzahlungen der Bundesanstalt für Immobilienaufgaben,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,0616,0,Allgemeine Dienste,04,Sonstige Zuschüsse aus dem Inland,Bundesamt für Kartographie und Geodäsie,0,0
8,170452701,ausgaben,2012,Zivildienst,015,"Bundesministerium für Familie, Senioren, Frauen und Jugend",52,527,Sächliche Verwaltungsausgaben (Obergruppe 52),5,17,Politische Führung und zentrale Verwaltung,funktion,1704 527 01 - 015,Dienstreisen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",1704,500,Allgemeine Dienste,01,Dienstreisen,Bundesamt für Familie und zivilgesellschaftliche Aufgaben,0,1
9,200351155,ausgaben,2012,Politische Führung,011,Bundesrechnungshof,51,511,Sächliche Verwaltungsausgaben (Obergruppe 51),5,20,Politische Führung und zentrale Verwaltung,funktion,2003 511 55 - 011,"Geschäftsbedarf und Datenübertragung sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, Software, Wartung","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",2003,519,Allgemeine Dienste,01,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",Prüfungsämter des Bundes,0,1
10,101381205,ausgaben,2012,Andere Einrichtungen für Wissenschaft und Forschung,165,"Bundesministerium für Ernährung, Landwirtschaft und Verbraucherschutz",81,812,Erwerb von beweglichen Sachen,8,10,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,1013 812 05 - 165,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Neu- und Erweiterungsbauten",Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,1013,380,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Erwerb von Geräten und sonstigen beweglichen Sachen,"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",1,1
