id,address,flow,year,funktion_3_title,funktion_3_address,einzelplan_1_title,gruppe_2_address,gruppe_3_address,gruppe_2_title,gruppe_1_address,einzelplan_1_address,funktion_2_title,account,name,title,gruppe_1_title,einzelplan_2_address,value,funktion_1_title,funktion_2_address,gruppe_3_title,einzelplan_2_title,funktion_1_address,flexible
12658,101781101,ausgaben,2014,Gesundheitsschutz,314,Bundesministerium für Ernährung und Landwirtschaft,81,811,Erwerb von beweglichen Sachen,8,10,Gesundheitswesen,funktion,1017 811 01 - 314,Erwerb von Fahrzeugen,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,1017,0,"Gesundheit, Umwelt, Sport und Erholung",31,Erwerb von Fahrzeugen,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),3,1
12659,040651701,ausgaben,2014,"Wissenschaftliche Bibliotheken, Archive, Fachinformationszentren",162,Bundeskanzlerin und Bundeskanzleramt,51,517,Sächliche Verwaltungsausgaben (Obergruppe 51),5,04,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,0406 517 01 - 162,"Bewirtschaftung der Grundstücke, Gebäude und Räume","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0406,3200,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundesarchiv,1,1
12660,046711957,einnahmen,2014,"Versorgung einschließlich Beihilfen für Versorgungsempfängerinnen und Versorgungsempfänger, soweit nicht unter Funktionen 038, 039, 048, 058, 068, 118 und 138",018,Bundeskanzlerin und Bundeskanzleramt,11,119,Verwaltungseinnahmen,1,04,Politische Führung und zentrale Verwaltung,funktion,0467 119 57 - 018,Vermischte Einnahmen,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0467,16,Allgemeine Dienste,01,Sonstige,"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter des Einzelplans 04 (ohne Kap. 0403, 0405 bis 0408)",0,0
12661,101512401,einnahmen,2014,Forschung und experimentelle Entwicklung,165,Bundesministerium für Ernährung und Landwirtschaft,12,124,Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen (ohne Zinsen),1,10,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,1015 124 01 - 165,"Einnahmen aus Vermietung, Verpachtung und Nutzung","Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",1015,260,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Mieten und Pachten,"Max Rubner-Institut, Bundesforschungsinstitut für Ernährung und Lebensmittel",1,0
12662,150627201,einnahmen,2014,Gesundheitsschutz,314,Bundesministerium für Gesundheit,27,272,Zuschüsse von der EU,2,15,Gesundheitswesen,funktion,1506 272 01 - 314,Einnahmen aus Zuschüssen von der EU,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,1506,0,"Gesundheit, Umwelt, Sport und Erholung",31,Sonstige Zuschüsse von der EU,Paul-Ehrlich-Institut,3,0
12663,160688291,ausgaben,2014,Städtebauförderung,423,"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit",88,882,Zuweisungen für Investitionen an öffentlichen Bereich,8,16,"Geoinformation, Raumordnung und Landesplanung, Städtebauförderung",funktion,1606 882 91 - 423,Investitionspakt Bund-Länder-Gemeinden  - Abwicklung,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,1606,0,"Wohnungswesen, Städtebau, Raumordnung und kommunale Gemeinschaftsdienste",42,Zuweisungen für Investitionen an Länder,Wohnungswesen und Städtebau,4,0
12664,160688293,ausgaben,2014,Städtebauförderung,423,"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit",88,882,Zuweisungen für Investitionen an öffentlichen Bereich,8,16,"Geoinformation, Raumordnung und Landesplanung, Städtebauförderung",funktion,1606 882 93 - 423,Förderung von Investitionen in nationale Projekte des Städtebaus,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,1606,2500,"Wohnungswesen, Städtebau, Raumordnung und kommunale Gemeinschaftsdienste",42,Zuweisungen für Investitionen an Länder,Wohnungswesen und Städtebau,4,0
12665,160688292,ausgaben,2014,Städtebauförderung,423,"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit",88,882,Zuweisungen für Investitionen an öffentlichen Bereich,8,16,"Geoinformation, Raumordnung und Landesplanung, Städtebauförderung",funktion,1606 882 92 - 423,Zuweisungen zur Förderung von kleineren Städten und Gemeinden - Abwicklung,Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,1606,2715,"Wohnungswesen, Städtebau, Raumordnung und kommunale Gemeinschaftsdienste",42,Zuweisungen für Investitionen an Länder,Wohnungswesen und Städtebau,4,0
12666,061811901,einnahmen,2014,Forschung und experimentelle Entwicklung,165,Bundesministerium des Innern,11,119,Verwaltungseinnahmen,1,06,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,0618 119 01 - 165,Einnahmen aus Veröffentlichungen,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0618,2,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Sonstige,Bundesinstitut für Sportwissenschaft,1,0
12667,101381205,ausgaben,2014,Forschung und experimentelle Entwicklung,165,Bundesministerium für Ernährung und Landwirtschaft,81,812,Erwerb von beweglichen Sachen,8,10,"Wissenschaft, Forschung, Entwicklung außerhalb der Hochschulen (ohne Wehrforschung und wehrtechnische Entwicklung, vgl. Funktion 036)",funktion,1013 812 05 - 165,"Erwerb von Geräten, Ausstattungs- und Ausrüstungsgegenständen für Neu- und Erweiterungsbauten",Sonstige Ausgaben für Investitionen und Investitionsförderungsmaßnahmen,1013,90,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",16,Erwerb von Geräten und sonstigen beweglichen Sachen,"Julius Kühn-Institut, Bundesforschungsinstitut für Kulturpflanzen",1,1
