flow,year,funktion_3_title,funktion_3_address,einzelplan_1_title,gruppe_2_address,gruppe_3_address,gruppe_2_title,gruppe_1_address,einzelplan_1_address,funktion_2_title,name,title,gruppe_1_title,einzelplan_2_address,funktion_1_title,funktion_2_address,gruppe_3_title,einzelplan_2_title,funktion_1_address,flexible,amount
einnahmen,2013,Sonstige Kulturpflege,187,Bundespräsident und Bundespräsidialamt,23,232,Sonstige (zweckgebundene) Zuweisungen aus dem öffentlichen Bereich,2,01,Kultur und Religion,0101 232 01 - 187,Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen,Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,0101,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",18,Sonstige Zuweisungen von Ländern,Bundespräsident,1,nicht-flexibel,0
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,421,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0101 421 01 - 011,Bezüge des Bundespräsidenten,Personalausgaben,0101,Allgemeine Dienste,01,"Bezüge des Bundespräsidenten, Bundeskanzlers, der Ministerpräsidenten, Minister, Parlamentarischen Staatssekretäre und sonstiger Amtsträger",Bundespräsident,0,flexibel,217000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,421,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0101 421 02 - 011,Aufwandsgeld,Personalausgaben,0101,Allgemeine Dienste,01,"Bezüge des Bundespräsidenten, Bundeskanzlers, der Ministerpräsidenten, Minister, Parlamentarischen Staatssekretäre und sonstiger Amtsträger",Bundespräsident,0,flexibel,78000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,45,453,Sonstige personalbezogene Ausgaben,4,01,Politische Führung und zentrale Verwaltung,0101 453 01 - 011,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Personalausgaben,0101,Allgemeine Dienste,01,"Trennungsgeld, Umzugskostenvergütungen",Bundespräsident,0,flexibel,0
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,52,529,Sächliche Verwaltungsausgaben (Obergruppe 52),5,01,Politische Führung und zentrale Verwaltung,0101 529 01 - 011,Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0101,Allgemeine Dienste,01,Verfügungsmittel,Bundespräsident,0,nicht-flexibel,780000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,54,545,Sächliche Verwaltungsausgaben (Obergruppe 54),5,01,Politische Führung und zentrale Verwaltung,0101 545 01 - 011,"Konferenzen, Tagungen, Messen und Ausstellungen","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0101,Allgemeine Dienste,01,Sonstiges,Bundespräsident,0,flexibel,0
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,68,681,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,6,01,Politische Führung und zentrale Verwaltung,0101 681 01 - 011,"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.",Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,0101,Allgemeine Dienste,01,"Renten, Unterstützungen und sonstige Geldleistungen an natürliche Personen",Bundespräsident,0,nicht-flexibel,1348000
ausgaben,2013,Sonstige Kulturpflege,187,Bundespräsident und Bundespräsidialamt,68,684,Sonstige Zuschüsse für laufende Zwecke an sonstige Bereiche,6,01,Kultur und Religion,0101 684 01 - 187,Deutsche Künstlerhilfe,Ausgaben für Zuweisungen und Zuschüsse mit Ausnahme für Investitionen,0101,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",18,Zuschüsse für laufende Zwecke an soziale oder ähnliche Einrichtungen (ohne öffentliche Einrichtungen),Bundespräsident,1,nicht-flexibel,2300000
einnahmen,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,11,119,Verwaltungseinnahmen,1,01,Politische Führung und zentrale Verwaltung,0103 119 99 - 011,Vermischte Einnahmen,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0103,Allgemeine Dienste,01,Sonstige,Bundespräsidialamt,0,nicht-flexibel,2000
einnahmen,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,12,124,Einnahmen aus wirtschaftlicher Tätigkeit und aus Vermögen (ohne Zinsen),1,01,Politische Führung und zentrale Verwaltung,0103 124 01 - 011,"Einnahmen aus Vermietung, Verpachtung und Nutzung","Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0103,Allgemeine Dienste,01,Mieten und Pachten,Bundespräsidialamt,0,nicht-flexibel,0
einnahmen,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,13,132,"Erlöse aus der Veräußerung von Gegenständen, Kapitalrückzahlungen",1,01,Politische Führung und zentrale Verwaltung,0103 132 01 - 011,Erlöse aus der Veräußerung von beweglichen Sachen,"Verwaltungseinnahmen, Einnahmen aus Schuldendienst und dgl.",0103,Allgemeine Dienste,01,Erlöse aus der Veräußerung von beweglichen Sachen,Bundespräsidialamt,0,nicht-flexibel,1000
einnahmen,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,28,282,Sonstige Zuschüsse aus sonstigen Bereichen,2,01,Politische Führung und zentrale Verwaltung,0103 282 09 - 011,"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen",Einnahmen aus Zuweisungen und Zuschüssen mit Ausnahme für Investitionen,0103,Allgemeine Dienste,01,Sonstige Zuschüsse aus dem Inland,Bundespräsidialamt,0,nicht-flexibel,0
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,422,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0103 422 01 - 011,Bezüge und Nebenleistungen der planmäßigen Beamtinnen und Beamten,Personalausgaben,0103,Allgemeine Dienste,01,Bezüge und Nebenleistungen der Beamten und Richter,Bundespräsidialamt,0,flexibel,4877000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,422,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0103 422 02 - 011,Bezüge und Nebenleistungen der beamteten Hilfskräfte,Personalausgaben,0103,Allgemeine Dienste,01,Bezüge und Nebenleistungen der Beamten und Richter,Bundespräsidialamt,0,flexibel,0
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,424,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0103 424 01 - 011,Zuführung an die Versorgungsrücklage,Personalausgaben,0103,Allgemeine Dienste,01,Zuführung an die Versorgungsrücklage,Bundespräsidialamt,0,flexibel,0
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,427,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0103 427 09 - 011,"Entgelte für Arbeitskräfte mit befristeten Verträgen, sonstige Beschäftigungsentgelte (auch für Auszubildende) sowie Aufwendungen für nebenberuflich und nebenamtlich Tätige",Personalausgaben,0103,Allgemeine Dienste,01,"Beschäftigungsentgelte, Aufwendungen für nebenamtlich und nebenberuflich Tätige",Bundespräsidialamt,0,flexibel,526000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,42,428,Bezüge und Nebenleistungen,4,01,Politische Führung und zentrale Verwaltung,0103 428 01 - 011,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Personalausgaben,0103,Allgemeine Dienste,01,Entgelte der Arbeitnehmerinnen und Arbeitnehmer,Bundespräsidialamt,0,flexibel,6179000
ausgaben,2013,"Beihilfen, Unterstützungen u.ä.",840,Bundespräsident und Bundespräsidialamt,44,441,"Beihilfen, Unterstützungen und dgl.",4,01,"Beihilfen, Unterstützungen u.ä.",0103 441 01 - 840,Beihilfen aufgrund der Beihilfevorschriften,Personalausgaben,0103,Finanzwirtschaft,84,"Beihilfen, soweit nicht für Versorgungsempfänger und dgl.",Bundespräsidialamt,8,flexibel,200000
ausgaben,2013,"Beihilfen, Unterstützungen u.ä.",840,Bundespräsident und Bundespräsidialamt,44,443,"Beihilfen, Unterstützungen und dgl.",4,01,"Beihilfen, Unterstützungen u.ä.",0103 443 01 - 840,Fürsorgeleistungen und Unterstützungen,Personalausgaben,0103,Finanzwirtschaft,84,Fürsorgeleistungen und Unterstützungen,Bundespräsidialamt,8,flexibel,25000
ausgaben,2013,Arbeitsschutz,313,Bundespräsident und Bundespräsidialamt,44,443,"Beihilfen, Unterstützungen und dgl.",4,01,Gesundheitswesen,0103 443 02 - 313,"Inanspruchnahme überbetrieblicher betriebsärztlicher und sicherheitstechnischer Dienste, von Betriebsärztinnen und Betriebsärzten sowie Fachkräften für Arbeitssicherheit",Personalausgaben,0103,"Gesundheit, Umwelt, Sport und Erholung",31,Fürsorgeleistungen und Unterstützungen,Bundespräsidialamt,3,flexibel,5000
ausgaben,2013,Unfallversicherung,223,Bundespräsident und Bundespräsidialamt,45,452,Sonstige personalbezogene Ausgaben,4,01,Sozialversicherung einschl. Arbeitslosenversicherung,0103 452 02 - 223,Unfallkasse des Bundes,Personalausgaben,0103,"Soziale Sicherung, Familie und Jugend, Arbeitsmarktpolitik",22,Personalbezogene Zahlungen an die Sozialversicherungsträger (soweit nicht unter Obergruppen 41 bis 44 erfasst),Bundespräsidialamt,2,flexibel,6000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,45,453,Sonstige personalbezogene Ausgaben,4,01,Politische Führung und zentrale Verwaltung,0103 453 01 - 011,"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen",Personalausgaben,0103,Allgemeine Dienste,01,"Trennungsgeld, Umzugskostenvergütungen",Bundespräsidialamt,0,flexibel,50000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,51,511,Sächliche Verwaltungsausgaben (Obergruppe 51),5,01,Politische Führung und zentrale Verwaltung,0103 511 01 - 011,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",Bundespräsidialamt,0,flexibel,526000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,51,511,Sächliche Verwaltungsausgaben (Obergruppe 51),5,01,Politische Führung und zentrale Verwaltung,0103 511 55 - 011,"Geschäftsbedarf und Datenübertragung sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, Software, Wartung","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,"Geschäftsbedarf und Kommunikation sowie Geräte, Ausstattungs- und Ausrüstungsgegenstände, sonstige Gebrauchsgegenstände",Bundespräsidialamt,0,flexibel,600000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,51,514,Sächliche Verwaltungsausgaben (Obergruppe 51),5,01,Politische Führung und zentrale Verwaltung,0103 514 01 - 011,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,"Verbrauchsmittel, Haltung von Fahrzeugen und dgl.",Bundespräsidialamt,0,flexibel,170000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,51,517,Sächliche Verwaltungsausgaben (Obergruppe 51),5,01,Politische Führung und zentrale Verwaltung,0103 517 01 - 011,"Bewirtschaftung der Grundstücke, Gebäude und Räume","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,"Bewirtschaftung der Grundstücke, Gebäude und Räume",Bundespräsidialamt,0,flexibel,2000000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,51,518,Sächliche Verwaltungsausgaben (Obergruppe 51),5,01,Politische Führung und zentrale Verwaltung,0103 518 01 - 011,Mieten und Pachten,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,Mieten und Pachten,Bundespräsidialamt,0,flexibel,380000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,51,518,Sächliche Verwaltungsausgaben (Obergruppe 51),5,01,Politische Führung und zentrale Verwaltung,0103 518 55 - 011,"Miete für Datenverarbeitungsanlagen, Geräte, Ausstattungs- und Ausrüstungsgegenstände, Maschinen, Software","Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,Mieten und Pachten,Bundespräsidialamt,0,flexibel,8000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,51,519,Sächliche Verwaltungsausgaben (Obergruppe 51),5,01,Politische Führung und zentrale Verwaltung,0103 519 01 - 011,Unterhaltung der Grundstücke und baulichen Anlagen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,Unterhaltung der Grundstücke und baulichen Anlagen,Bundespräsidialamt,0,flexibel,1210000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,52,525,Sächliche Verwaltungsausgaben (Obergruppe 52),5,01,Politische Führung und zentrale Verwaltung,0103 525 01 - 011,Aus- und Fortbildung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,Aus- und Fortbildung,Bundespräsidialamt,0,flexibel,30000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,52,525,Sächliche Verwaltungsausgaben (Obergruppe 52),5,01,Politische Führung und zentrale Verwaltung,0103 525 55 - 011,Aus- und Fortbildung,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,Aus- und Fortbildung,Bundespräsidialamt,0,flexibel,20000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,52,526,Sächliche Verwaltungsausgaben (Obergruppe 52),5,01,Politische Führung und zentrale Verwaltung,0103 526 01 - 011,Gerichts- und ähnliche Kosten,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,"Sachverständige, Gerichts- und ähnliche Kosten",Bundespräsidialamt,0,flexibel,7000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,52,526,Sächliche Verwaltungsausgaben (Obergruppe 52),5,01,Politische Führung und zentrale Verwaltung,0103 526 02 - 011,Sachverständige,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,"Sachverständige, Gerichts- und ähnliche Kosten",Bundespräsidialamt,0,flexibel,120000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,52,526,Sächliche Verwaltungsausgaben (Obergruppe 52),5,01,Politische Führung und zentrale Verwaltung,0103 526 04 - 011,Kosten der Kommission unabhängiger Sachverständiger gemäß § 18 Abs. 7 Parteiengesetz,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,"Sachverständige, Gerichts- und ähnliche Kosten",Bundespräsidialamt,0,flexibel,0
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,52,527,Sächliche Verwaltungsausgaben (Obergruppe 52),5,01,Politische Führung und zentrale Verwaltung,0103 527 01 - 011,Dienstreisen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,Dienstreisen,Bundespräsidialamt,0,flexibel,190000
ausgaben,2013,Politische Führung,011,Bundespräsident und Bundespräsidialamt,53,532,Sächliche Verwaltungsausgaben (Obergruppe 53),5,01,Politische Führung und zentrale Verwaltung,0103 532 02 - 011,Kosten für Orden und Ehrenzeichen,"Sächliche Verwaltungsausgaben, militärische Beschaffungen usw., Ausgaben für den Schuldendienst",0103,Allgemeine Dienste,01,Sonstiges,Bundespräsidialamt,0,flexibel,85000
